id;base;type;name;year;cabins;berths;crew;toilets;__29_3;_29_3__19_4;_19_4__3_5;_3_5__17_5;17_5__31_5;_31_5__14_6;_14_6__19_7;_19_7__9_8;_9_8__23_8;23_8__6_9;6_9__20_9;20_9__4_10;4_10__18_10;_18_10__01_11;_1_11__;length;beam;draught;weight;water_tank;fuel_tank;motor;engine;steering_wheel;roller_genoa;roller_furling;lazy_jacks;spinnaker;teak_deck;colour;el_anker;bimi;sprayhood;sunsail;hot_water;shower;radio;radio_vhf;autopilot;gps;card_plotter ;outside_card_plotter;webeye;plugs12v;refrigerator;windspeed; tridata_inst;bow_thruster;heating;aircon;generator;radar;el_toilets;el_winch;dish_washer;washing_machine;tv;dvd;mp3;microwave;plotter_outside;cockpit_table;removable_wall;outside_speakers;freezer ;holding_tanks;
1;Vodice; SUN ODYSSEY 54 DS ;Macchiato;2009;5;10+2;;4;2934;3465;4274;4805;5440;5983;6295;6457;6295;6145;5867;5070;4539;3742;3199;16,38;4,87;2,3;23000;930;400;110;YANMAR;2;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;1;;1;;;1;1;1;1;;1;1;1;1;4;
2;Vodice; BAVARIA 50;AYC;2002;5;10;10;3;2211;2805;3212;3608;4015;4411;4609;4818;4697;4609;4411;4015;3608;2805;2409;14,95;4,55;2,3;;730;270;78;VOLVO;2;1;1;;1;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;1;
3;Vodice; BAVARIA 50;AYC - Bavaria;2001;5;10;10;3;2211;2805;3212;3608;4015;4411;4609;4818;4697;4609;4411;4015;3608;2805;2409;14,98;4,49;2,3;;730;270;78;VOLVO;2;1;1;;;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;1;
4;Vodice; SUN ODYSSEY 50 DS ;Forus ;2009;4;8+2;;3;2322;2945;3373;3788;4216;4632;4839;5059;4932;4839;4632;4216;3788;2945;2529;14,75;4,49;2,2;;600;240;110;YANMAR;2;1;1;;1;1;white;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;;;1;1;1;1;1;1;1;1;1;1;
5;Vodice; SUN ODYSSEY 50 DS LUX ;BSB;2009;3;6+2;8;2;2610;2871;3480;3915;5220;5220;5655;5655;5655;5220;5220;3915;3480;2871;2610;14,75;4,49;2,4;;600;240;110;YANMAR;2;1;1;;1;1;blue;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;;1;1;;
6;Vodice; FIRST 47.7;First Class 2;2003;4;8;8;2;2035;2365;2706;3212;3553;3718;3718;3718;3718;3718;3718;3388;3047;2706;2365;14,5;4,5;2,2;;600;200;75;YANMAR;1;1;;1;1;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;;;
7;Vodice; FIRST 47.7;First Class;2001;4;8;8;2;2035;2365;2706;3212;3553;3718;3718;3718;3718;3718;3718;3388;3047;2706;2365;14,5;4,5;2,2;;600;200;75;YANMAR;1;1;;1;1;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;;;
8;Vodice; SUN ODYSSEY 44 i ;Capuccino;2009;4;8+2;;2;1894;2414;2749;3095;3442;3788;3962;4135;4031;3962;3788;3442;3095;2414;2067;13,41;4,37;2,05;;615;240;75;YANMAR;2;1;1;;;;white;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;;1;1;1;1;;1;1;1;1;1;
9;Vodice; SUN ODYSSEY 44 i ;Istra;2009;4;8+2;;2;1894;2414;2749;3095;3442;3788;3962;4135;4031;3962;3788;3442;3095;2414;2067;13,41;4,37;2,05;;615;240;75;YANMAR;2;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;;1;1;1;1;1;1;1;1;1;1;
10;Vodice; BAVARIA 44;Forte;2002;4;8+2;;2;1672;2123;2431;2728;3036;3333;3487;3641;3553;3487;3333;3036;2728;2123;1826;13,6;4,2;1,95;;360;210;55;VOLVO;2;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;1;
11;Vodice; BAVARIA 44;Alma 3;2004;4;8+2;;2;1672;2123;2431;2728;3036;3333;3487;3641;3553;3487;3333;3036;2728;2123;1826;13,6;4,2;1,95;;360;210;55;VOLVO;2;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;;;;;;;;;;1;;;1;;1;;;
12;Vodice; SUN ODYSSEY 43 DS;Gabriela;2002;4;8;;2;1672;2123;2431;2728;3036;3333;3487;3641;3553;3487;3333;3036;2728;2123;1826;12,84;4,14;2;;600;200;75;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;;;;1;
13;Vodice; SUN ODYSSEY 43 DS;Gabriela 2;2002;4;8;;2;1672;2123;2431;2728;3036;3333;3487;3641;3553;3487;3333;3036;2728;2123;1826;12,84;4,14;2;;600;200;75;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;;;;1;
14;Vodice; SUN ODYSSEY 43;Suno;2002;4;8;;2;1595;2035;2321;2607;2904;3190;3333;3487;3399;3333;3190;2904;2607;2035;1738;13,21;4,19;2,2;;400;200;80;YANMAR;2;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;;;;;
15;Vodice; SUN ODYSSEY 40;Balance 1;2000;3;6;;2;1221;1463;1760;2200;2519;2739;2937;2937;2937;2816;2574;2321;1958;1716;1463;11,75;3,95;2,15;12280;320;136;56;YANMAR;2;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;1;
16;Vodice; SUN ODYSSEY 40;Balance 2;2002;3;6;;2;1221;1463;1760;2200;2519;2739;2937;2937;2937;2816;2574;2321;1958;1716;1463;11,75;3,95;2,15;13970;320;136;60;YANMAR;2;1;1;;1;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;1;
17;Vodice; BAVARIA 39 cruiser;Rolu;2006;3;6+2;;2;1221;1463;1760;2200;2519;2739;2937;2937;2937;2816;2574;2321;1958;1716;1463;11,93;3,97;2,05;;360;210;41;VOLVO;1;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;;;;;
18;Vodice; BAVARIA 38;Malu;2005;3;6+1;;1;1100;1320;1639;1969;2255;2453;2629;2739;2629;2519;2299;2079;1749;1540;1320;11,91;3,87;1,9;;300;150;56;VOLVO;1;1;1;;;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;1;;;
19;Vodice; SUN ODYSSEY 37;Arim 1;2003;3;6+1;;1;1100;1320;1639;1969;2255;2453;2629;2739;2629;2519;2299;2079;1749;1540;1320;10,95;3,7;2,2;;320;100;39;YANMAR;1;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;;
20;Vodice; OCEANIS 331;Birdy;2003;3;6;;1;936;1132;1317;1594;1883;2067;2252;2252;2252;2195;2067;1883;1594;1317;1028;10;3,42;1,8;;200;70;26;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;1;;;;;;;;
21;Vodice; HUNTER 326;Hunter;2001;2;4;;1;843;1016;1190;1444;1698;1860;2033;2148;2033;1952;1779;1605;1444;1190;936;9,4;3,3;2;7550;120;100;18;YANMAR;1;1;1;;;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;
22;Vodice; SUN ODYSSEY 32 i ;Ristretto 1;2009;2;4+2;;1;878;1051;1224;1490;1756;1929;2102;2229;2102;2021;1848;1663;1490;1224;970;9,45;3,3;2;7190;170;70;21;YANMAR;1;1;1;;1;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;1;;1;;1;
23;Vodice; SUN ODYSSEY 32 i ;Ristretto 2;2009;2;4+2;;1;878;1051;1224;1490;1756;1929;2102;2229;2102;2021;1848;1663;1490;1224;970;9,45;3,3;2;7190;170;70;21;YANMAR;1;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;1;;1;;1;
24;Vodice; SUN ODYSSEY 30 i ;Espresso 1;2009;2;4+2;;1;843;1016;1190;1444;1698;1860;2033;2148;2033;1952;1779;1605;1444;1190;936;8,79;3,18;1,95;;160;50;21;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;1;;;;;1;;1;
25;Vodice; SUN ODYSSEY 30 i ;Espresso 2;2009;2;4+2;;1;843;1016;1190;1444;1698;1860;2033;2148;2033;1952;1779;1605;1444;1190;936;8,79;3,18;1,95;;160;50;21;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;1;;;;;1;;1;
26;Vodice; ELAN 431/ Sonderpreis;9 boats;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;13;4;2;;300;80;50;YANMAR;1;1;;1;1;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;
27;Vodice; ELAN 38 / Sonderpreis;Zaglav;1993;3;6;;2;836;836;1001;1342;1672;1848;2013;2101;2013;1925;1848;1672;1342;1177;924;11,56;3,87;1,95;;300;90;36;YANMAR;1;1;;1;1;;white;1;1;;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;
28;Krvavica; SUN ODYSSEY 52.2;Julianna;1999;4(5);8+2;10;4;2398;2838;3487;3927;4444;4884;5148;5280;5148;5016;4796;4147;3707;3047;2618;14,94;4,85;2,2;;1000;400;88;YANMAR;2;1;1;;1;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;;1;1;;1;;1;1;1;1;1;;1;1;1;;3;
29;Krvavica; BAVARIA 49;Eagle;2005;5;10+2;;3;2211;2805;3212;3608;4015;4411;4609;4818;4697;4609;4411;4015;3608;2805;2409;14,95;4,46;1,8;14000;460;210;78;VOLVO;2;1;1;;1;1;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;;1;;1;
30;Krvavica; SUN ODYSSEY 45.2 T;Golf 1;2000;4;8+2;;2;1804;2299;2618;2948;3278;3608;3773;3938;3839;3773;3608;3278;2948;2299;1969;13,8;4,48;1,8;14000;400;205;75;YANMAR;2;1;1;;1;1;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;1;1;;1;
31;Krvavica; SUN ODYSSEY 45.2 T;Golf 2;2000;4;8+2;;2;1804;2299;2618;2948;3278;3608;3773;3938;3839;3773;3608;3278;2948;2299;1969;13,8;4,48;1,8;14000;400;205;75;YANMAR;2;1;1;;1;1;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;1;;;1;1;1;;1;
32;Krvavica; OCEANIS 411;Hypo;2002;4;8+2;;2;1452;1716;1980;2508;2772;3036;3157;3157;3157;3036;2772;2508;2112;1848;1584;12,34;3,94;1,9;11000;500;135;56;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;1;;1;;;"""HYPO"" does have holding tank but has to be repaired!! "
33;Krvavica; ELAN 40/Sonderpreis;Planika ;2002;3;6+1;;2;1221;1463;1760;2200;2519;2739;2937;2937;2937;2816;2574;2321;1958;1716;1463;11,59;3,83;2;11590;220;120;40;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;1;;;
34;Krvavica; ELAN 40/Sonderpreis;Crnika;2002;3;6+1;;2;1221;1463;1760;2200;2519;2739;2937;2937;2937;2816;2574;2321;1958;1716;1463;11,59;3,83;2;11590;220;120;40;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;1;;;
35;Krvavica; ELAN 36 / Sonderpreis;Vrijes ;2002;3;6+1;;1;968;1166;1452;1749;2002;2178;2332;2431;2332;2233;2035;1848;1551;1364;1166;10,69;3,59;1,8;;250;90;29;YANMAR;1;1;1;;1;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;1;;;;;1;;;
36;Krvavica; ELAN 36 / Sonderpreis;Smrika ;2002;3;6+1;;1;968;1166;1452;1749;2002;2178;2332;2431;2332;2233;2035;1848;1551;1364;1166;10,69;3,59;1,8;;250;90;29;YANMAR;1;1;1;;1;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;1;;;
37;Krvavica; HUNTER 36;Prima ;2002;2;4+2;;1;878;1051;1224;1490;1756;1929;2102;2229;2102;2021;1848;1663;1490;1224;970;10,5;3,76;1,72;;284;144;27;YANMAR;1;1;1;;genaker;;white;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;;1;;;;;;;;;1;1;1;1;;1;;1;
38;Krvavica; ELAN 333 / Sonderpreis;Metvica;2002;2;4+2 ;;1;803;968;1133;1375;1617;1771;1936;2046;1936;1859;1694;1529;1375;1133;891;10,45;3,46;1,9;;165;85;18;YANMAR;1;1;1;;1;;white;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;1;;;;;1;;;
39;Krvavica; ELAN 333 / Sonderpreis;Kadulja;2002;2;4+2 ;;1;803;968;1133;1375;1617;1771;1936;2046;1936;1859;1694;1529;1375;1133;891;10,45;3,4;1,9;;165;85;18;YANMAR;1;1;1;;;;white;1;1;1;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;1;;;
40;Vodice; ELAN 431/ Sonderpreis;Aquarius;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;13;4;2,15;;300;80;50;;1;1;;1;;1;white;1;1;;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
41;Vodice; ELAN 431/ Sonderpreis;Capricornus;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
42;Vodice; ELAN 431/ Sonderpreis;Drako;1994;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white ;1;1;;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
43;Vodice; ELAN 431/ Sonderpreis;Leo;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
44;Vodice; ELAN 431/ Sonderpreis;Merag;1993;4;8 + 2;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;
45;Vodice; ELAN 431/ Sonderpreis;Sagitarius;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
46;Vodice; ELAN 431/ Sonderpreis;Scorpio;1994;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
47;Vodice; ELAN 431/ Sonderpreis;Taurus;1995;4;8;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
48;Vodice; ELAN 431/ Sonderpreis;Ursa 1;1994;4;8 + 2;;3;1045;1144;1430;1705;1903;2090;2189;2277;2222;2189;2090;1903;1705;1331;1144;12,99;4;1,9;;300;80;50;;1;1;;1;;1;white;1;1;;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;
